rank,company_name,role_title,recency_days,applicants,company_url,evidence_url,score,signal_summary
1,ChannelFlex,Founding Software Engineer,0,87,https://www.linkedin.com/company/channelflex,https://www.linkedin.com/jobs/view/4390956037/,10,Founding Software Engineer posted 0d ago  87 applicants
2,Stealth Startup,Founding Machine Learning Engineer [33007],0,75,https://www.linkedin.com/company/stealth-startupsssss,https://www.linkedin.com/jobs/view/4392297074/,10,Founding Machine Learning Engineer [33007] posted 0d ago  75 applicants
3,Pretorin,Founding Engineer,0,25,https://www.linkedin.com/company/pretorin,https://www.linkedin.com/jobs/view/4391221709/,10,Founding Engineer posted 0d ago  25 applicants
4,Jobright.ai,Founding AI Engineer,0,25,https://www.linkedin.com/company/jobright-ai,https://www.linkedin.com/jobs/view/4391212196/,10,Founding AI Engineer posted 0d ago  25 applicants
5,Storm3,Founding Engineer,0,63,https://www.linkedin.com/company/storm3,https://www.linkedin.com/jobs/view/4391598247/,10,Founding Engineer posted 0d ago  63 applicants
6,Sartre Group,Founding Engineer | Python / JavaScript | LLM Systems | San Francisco,0,54,https://www.linkedin.com/company/sartre-group,https://www.linkedin.com/jobs/view/4391580768/,10,Founding Engineer | Python / JavaScript | LLM Systems | San Francisco posted 0d ago  54 applicants
7,Jack,Founding Engineer,0,176,https://www.linkedin.com/company/searchwithjack,https://www.linkedin.com/jobs/view/4385298653/,10,Founding Engineer posted 0d ago  176 applicants
8,Berkley Hunt,Founding Software Engineer,0,200,https://www.linkedin.com/company/berkleyhunt,https://www.linkedin.com/jobs/view/4391771354/,10,Founding Software Engineer posted 0d ago  200 applicants
9,Berkley Hunt,Founding Full Stack Engineer,0,200,https://www.linkedin.com/company/berkleyhunt,https://www.linkedin.com/jobs/view/4389086678/,10,Founding Full Stack Engineer posted 0d ago  200 applicants
10,Revic,Founding GTM AI Engineer,0,78,https://www.linkedin.com/company/revic-ai,https://www.linkedin.com/jobs/view/4391558313/,10,Founding GTM AI Engineer posted 0d ago  78 applicants
11,Jobright.ai,Founding Backend Engineer,0,25,https://www.linkedin.com/company/jobright-ai,https://www.linkedin.com/jobs/view/4391204582/,10,Founding Backend Engineer posted 0d ago  25 applicants
12,Reflexive Concepts,Software Engineer 0,0,25,https://www.linkedin.com/company/reflexive-concepts,https://www.linkedin.com/jobs/view/4392058423/,10,Software Engineer 0 posted 0d ago  25 applicants
13,hackajob,Senior Lead Software Engineer - Java,0,25,https://www.linkedin.com/company/hackajob,https://www.linkedin.com/jobs/view/4391258006/,10,Senior Lead Software Engineer - Java posted 0d ago  25 applicants
14,Reflexive Concepts,Software Engineer I,0,25,https://www.linkedin.com/company/reflexive-concepts,https://www.linkedin.com/jobs/view/4392042931/,10,Software Engineer I posted 0d ago  25 applicants
15,VetScribe,Senior Software Engineer,0,25,https://www.linkedin.com/company/vet-scribe,https://www.linkedin.com/jobs/view/4391254135/,10,Senior Software Engineer posted 0d ago  25 applicants
