post_url,post_id,post_author,post_engagement,post_text,run_id,run_started_at
"https://www.linkedin.com/posts/lindsay-ellis-b650ba56_job-hunters-are-so-desperate-that-theyre-activity-7426631280072712193-AwdQ","","Lindsay Ellis","326","New from me in The Wall Street Journal: Landing a white-collar job is getting so tough that candidates—not companies—are paying recruiters to match them with positions. That has flipped the traditional recruiting model upside-down. Meet the ""reverse recruiters"": They find positions, customize resumes and even contact current employees. They can charge a set fee or a percentage of an applicant's starting salary once a job is accepted. Or both. But it points to how difficult the current world of online applications is to navigate — and how challenging it is to get a white-collar job right now. “If you are not paying, you are the product,” said Andre Hamra, Refer’s chief executive. “It incentivizes us to actually help the person.” At Reverse Recruiting Agency, Alex Shinkarovsky's team charges $1,500 monthly, plus a share of the first year's salary. He has 22 active clients. “Some folks just don’t have time to do it, some folks are scared, some folks are unemployed and on their last effort,” he said. More: https://lnkd.in/eWbw5DgY","zUbCqF6XWzjOvRLnk","2026-03-09T09:45:59.161Z"
"https://www.linkedin.com/posts/gannyn-com_agency-recruitment-software-has-come-along-activity-7436059349988524032-fTcI","","Gannyn.com","5","Agency recruitment software has come along way over the years. Let's hear from the audience. Take the poll and tell us why in the comments 👇","zUbCqF6XWzjOvRLnk","2026-03-09T09:45:59.161Z"
"https://www.linkedin.com/posts/bonnie-fecowicz-6289871a6_rhtp-ruralhealth-nursingworkforce-activity-7435045331848994816-qqZO","","Bonnie Fecowicz","20","Do you have so much money and that many nurses that you are willing to ignore the funds available for rural health? $50 billion is coming to rural healthcare—nearly every state named the workforce as a top priority. Most will spend it on recruitment. Sign-on bonuses. Agency fees. Relocation packages. And in 18 months, most of those nurses will leave. We don't have a nursing shortage. We have a pipeline problem. And you don't solve a pipeline problem by recruiting harder. More next week. #RHTP #RuralHealth #NursingWorkforce #WorkforceDevelopment","zUbCqF6XWzjOvRLnk","2026-03-09T09:45:59.161Z"
"https://www.linkedin.com/posts/amanda-deschamps-373435170_recruiting-hiringmetrics-startups-activity-7436061504598106112-tU6X","","Amanda Deschamps","6","Is your ATS lying to you about your CPH? 📉 We all look at Cost Per Hire. It’s the metric that keeps VCs happy and HR budgets intact. But, most standard ATS reports only show you the visible costs: job board spend, referral bonuses, and agency fees. They completely ignore the hidden data—the silent budget killers that are actually doubling your true acquisition cost. We just analyzed the numbers, and the gap is shocking. The ""Hidden Data"" that traditional tracking misses includes: 1️⃣ Hiring Manager Drag: The 15+ hours your expensive engineering or sales leadership spends screening resumes instead of building products or closing deals. 2️⃣ The ""Ghosting"" Penalty: The compounding cost of backfilling roles because your interview process took 4 days too long. 3️⃣ Technology Bloat: The overlapping SaaS seats for sourcing tools that your team only uses 20% of the time. The result? The $22,000 hire you reported is actually costing your company $48,000 in realized resources. Don't let invisible inefficient processes bleed your budget dry!! DM to Discuss a Better Way!!! Amanda Deschamps 🇨🇦 HR & Networking Professional The $99 Recruiter #Recruiting #HiringMetrics #Startups #TalentAcquisition #The99Recruiter #CostPerHire #HRData","zUbCqF6XWzjOvRLnk","2026-03-09T09:45:59.161Z"
"https://www.linkedin.com/posts/joejonesrefreshing_in-the-last-two-business-days-charlie-jones-activity-7435271321191686144-ylWY","","Joe Jones","92","In the last two business days Charlie Jones and I have placed candidates on the following salaries. £82,500, £65,000, £95,000 and £52,500. With the average recruitment fee of 20% this would be £59,000 in fees. With us, we charged ZERO. Well, technically not zero, but all of these placements were with clients on our subscription plan. They pay £1500 a month for ALL recruitment. Huge savings. And for recruitment companies out there who think we are bonkers. Keep thinking that. That;s what we want.","zUbCqF6XWzjOvRLnk","2026-03-09T09:45:59.161Z"
"https://www.linkedin.com/posts/james-clancy-ms-phr-shrm-cp-7ab8391_many-individuals-exploring-new-opportunities-activity-7435785118520348673-SQbq","","James Clancy, MS, PHR, SHRM-CP","11","Many individuals exploring new opportunities choose to work with recruiters, but doing so can sometimes limit your options. When a recruiter submits your resume to a firm on your behalf, the firm is typically required to pay a placement fee if you are hired. In many cases, that fee can be 20% or more of the starting salary. Because of this, some firms may choose not to pursue a candidate they otherwise might have considered if there were no associated recruiting fee. If there is a firm you are particularly interested in, consider reaching out to them directly. Sending a well-written, professional resume along with a thoughtful cover letter can significantly improve your chances of securing an initial conversation.","zUbCqF6XWzjOvRLnk","2026-03-09T09:45:59.161Z"
"https://www.linkedin.com/posts/oliviagaughan_recruiting-talentacquisition-hiringstrategy-activity-7435327886053552131-TBQ-","","Olivia Gaughan","0","💬 Okay I know I already did a poll this week, but I’m doing a little market research and would love honest input from companies that use external recruiting partners! For direct hire placements, fee percentages can vary quite a bit depending on industry, level of role, and type of partnership. Some organizations operate on lower percentage models. Others pay more for extended guarantees, specialization, or retained support. I'd love to get a pulse on what is most common right now from the employer side. If you are comfortable sharing anonymously through the poll, where does your typical direct hire fee land? #Recruiting #TalentAcquisition #HiringStrategy #DirectHire #ExecutiveSearch #MarketResearch #SalesHatch #PollTime","zUbCqF6XWzjOvRLnk","2026-03-09T09:45:59.161Z"
"https://www.linkedin.com/posts/activity-7434702195100495872-qKJx","","Sarah Gagliostro","5","Working with a Recruiter: Q&A Series #1 A lot of candidates I talk to aren’t sure how the recruiting process actually works. So we’re starting a Q&A series about what it’s really like to work with a recruiter. One of the questions I get asked most often: “How much does this cost me as the candidate?” ZERO dollars. We never charge candidates, not for introductions, not for interviews, not for offers. Recruiters are paid by the companies that hire us to find great people. If someone is asking you to pay for anything, that’s your cue to say, “Thanks, but no thanks.” Your job search should open doors, not your wallet. Have a question about working with a recruiter? Send me a message!","zUbCqF6XWzjOvRLnk","2026-03-09T09:45:59.161Z"
"https://www.linkedin.com/posts/karenschmidtkbic_a-lot-of-recruiting-agency-owners-consider-activity-7428030158533533696-Bouf","","Karen Schmidt","61","A lot of recruiting agency owners consider themselves rainmakers. And they might be big billers. But are they bringing in new business? There’s a simple way to find out: In the last six months, how many new fee agreements have you signed? With clients you haven’t worked with in the last couple of years? When I ask that, I often get one of a few responses: “I’m really more of a relationship person, I’m not a metrics person.” “A lot of other shops are volume shops, we’re not that.” “We don’t just sling stuff against the wall and hope it sticks.” “Most of my clients I’ve worked with for a long time, they come to me.” All of that is just a really long way of saying, I don’t actually like to rain make. And that’s fine when referral and repeat work is coming your way. But when it stops… Time to make some rain.","zUbCqF6XWzjOvRLnk","2026-03-09T09:45:59.161Z"
"https://www.linkedin.com/posts/tomkevinallen_how-will-ai-impact-the-recruitment-market-activity-7435095951247056896-85hX","","Tom Allen","2","How will AI impact the recruitment market? Some say that ""our"" days are numbered. Others believe that it will simply remain a tool that streamlines and enhances our workflow. There is some truth in both schools of thought, and here it is: AI will make low-mid level recruiters and agencies completely obsolete. If your firm relies on job posting - then this may be your last year in business. If your workflow relies on databases that will deflate in price once platform competition rises, then you've maybe got another 3-5 years before internal is wiping you out completely. The only members of our industry that will survive the AI surge, are true consultants - with robust personal networks, market knowledge, and trusted advisor status. The same way writing essays has become a thing of the past in Universities, while true novelists are having record breaking sales. Relying on active talent applying to your ghost-job or being in your $10,000 database - will be completely irrelevant in a world where only high-level, exclusively-represented talent is the value add sought by clientele. Maybe I am wrong! Please share your thoughts below, and let's see what you all foresee happening in our ever-changing world of recruitment....?","zUbCqF6XWzjOvRLnk","2026-03-09T09:45:59.161Z"
